,Gray Whales,Fin Whales,Humpback Whales,Blue Whales,Minke Whales,False Killer Whales,Orca Whales,Sei Whales,Temp
Day 194,0,0,0,0,0,0,0,0,12.1
Day 195,0,0,0,0,0,0,0,0,12.8
Day 196,0,0,0,0,0,0,0,0,13.4
Day 197,0,0,0,0,0,0,0,0,12.9
Day 198,0,0,0,0,0,0,0,0,12.5
Day 199,0,0,0,0,0,0,0,0,11.3
Day 200,0,0,0,0,0,0,0,0,11.3
Day 201,0,0,0,0,0,0,0,0,11.8
Day 202,0,0,0,0,0,0,0,0,12.5
Day 203,0,0,0,0,0,0,0,0,12.1
Day 204,0,0,0,0,0,0,0,0,12.8
Day 205,0,0,0,0,0,0,0,0,12.1
Day 206,0,0,0,0,0,0,0,0,12.1
Day 207,0,0,0,0,0,0,0,0,12.1
Day 208,0,0,0,0,0,0,0,0,12.2
Day 209,0,0,0,0,0,0,0,0,12.5
Day 210,0,0,0,0,0,0,0,0,12.6
Day 211,0,0,0,0,0,0,0,0,12.6
Day 212,0,0,0,0,0,0,0,0,12.1
Day 213,0,0,0,0,0,0,0,0,12.2
Day 214,0,0,0,0,0,0,0,0,12.6
Day 215,0,0,0,0,0,0,0,0,11.7
Day 216,0,0,0,0,0,0,0,0,11.7
Day 217,0,0,0,0,0,0,0,0,11.7
Day 218,0,0,0,2,0,0,0,0,12.1
Day 219,0,0,0,10,0,0,0,0,12.5
Day 220,0,0,0,2,0,0,0,0,12.9
Day 221,0,0,0,1,0,0,0,0,13.4
Day 222,0,0,0,2,0,0,0,0,12.9
Day 223,0,0,0,4,0,0,0,0,12.8
Day 224,0,0,0,0,0,0,0,0,12.5
Day 225,0,0,0,0,1,0,0,0,12.6
Day 226,0,0,0,0,0,0,0,0,13.3
Day 227,0,0,0,0,0,0,0,0,12.1
Day 228,0,0,0,1,0,0,0,0,12.8
Day 229,0,0,0,0,0,0,0,0,12.9
Day 230,0,0,0,0,0,0,0,0,12.9
Day 231,0,0,0,0,0,0,0,0,13.3
Day 232,0,0,0,0,0,0,0,0,12.8
Day 233,0,0,0,1,0,0,0,0,12.1
Day 234,0,0,0,0,0,0,0,0,12.6
Day 235,0,0,0,0,0,0,0,0,12.9
Day 236,0,0,0,0,0,0,0,0,12.6
Day 237,0,0,0,0,0,0,0,0,12.4
Day 238,0,0,0,2,0,0,0,0,11.7
Day 239,0,0,0,4,0,0,0,0,11.8
Day 240,0,0,0,1,0,0,0,0,12
Day 241,0,0,0,0,0,0,0,0,11.8
Day 242,0,0,0,0,0,0,0,0,12.1
